Tamano,Burbuja,Selecci�n,MergeSort,QuickSort,MergeSortParalelo
10,3.2e-05,6.4e-05,4.8e-05,3.9e-05,5.9e-05
20,4.9e-05,3.4e-05,5.8e-05,6.5e-05,8.3e-05
30,9.6e-05,8.4e-05,8.5e-05,8.8e-05,0.000112
40,0.000149,9.4e-05,0.000103,0.000103,0.000155
50,0.000214,0.000119,0.00011,0.000117,0.000168
60,0.000268,0.000167,0.000141,0.000145,0.000193
70,0.000377,0.000244,0.000194,0.000167,0.000223
80,0.000525,0.000285,0.000194,0.000177,0.000292
90,0.000597,0.00034,0.000202,0.000187,0.000263
100,0.000714,0.000411,0.000229,0.000228,0.00031
